N,Qf,Sigma,Mean E2,Mean E10,Overfit
20,1,0.0,0.0,0.0,0.0
20,1,0.05,0.0021,10.2299,10.2278
20,1,0.3,0.077,19.3715,19.2945
20,1,1.0,0.8652,1381.6062,1380.741
20,1,1.5,1.958,1060.866,1058.908
20,1,2.0,3.4736,284.0003,280.5267
20,2,0.0,0.0,0.0,0.0
20,2,0.05,0.0024,95.2037,95.2013
20,2,0.3,0.0983,4974.8741,4974.7758
20,2,1.0,1.0428,31074.1459,31073.1031
20,2,1.5,1.5861,688.9828,687.3967
20,2,2.0,3.4011,676.3852,672.9841
20,5,0.0,0.0484,0.0,-0.0484
20,5,0.05,0.0825,14.096,14.0135
20,5,0.3,0.2924,114590.1094,114589.817
20,5,1.0,1.0888,260467.3157,260466.2269
20,5,1.5,2.3076,313450.5858,313448.2782
20,5,2.0,4.1742,155708.1684,155703.9942
20,10,0.0,0.2304,0.0,-0.2304
20,10,0.05,0.2246,9.9173,9.6927
20,10,0.3,0.3798,460.3911,460.0113
20,10,1.0,1.1358,94.3469,93.2111
20,10,1.5,2.4026,653.8699,651.4673
20,10,2.0,3.3503,74121.3101,74117.9598
20,25,0.0,0.3664,7.0698,6.7034
20,25,0.05,0.2685,2087.5224,2087.2539
20,25,0.3,0.3898,498.1102,497.7204
20,25,1.0,1.1592,145217267.7785,145217266.6193
20,25,1.5,2.1883,8759.2885,8757.1002
20,25,2.0,4.099,135601.2308,135597.1318
30,1,0.0,0.0,0.0,0.0
30,1,0.05,0.002,0.0939,0.0919
30,1,0.3,0.082,2.6846,2.6026
30,1,1.0,0.9463,22.7794,21.8331
30,1,1.5,2.4768,4.993,2.5162
30,1,2.0,3.9171,116.0746,112.1575
30,2,0.0,0.0,0.0,0.0
30,2,0.05,0.002,5.8135,5.8115
30,2,0.3,0.0911,88.0403,87.9492
30,2,1.0,1.0022,2472.9086,2471.9064
30,2,1.5,1.6934,9.7868,8.0934
30,2,2.0,3.8466,15.9313,12.0847
30,5,0.0,0.1198,0.0,-0.1198
30,5,0.05,0.1499,4.6285,4.4786
30,5,0.3,0.1963,12.216,12.0197
30,5,1.0,0.8557,2.6809,1.8252
30,5,1.5,2.3614,864.2157,861.8543
30,5,2.0,3.5922,220.4935,216.9013
30,10,0.0,0.286,0.0,-0.286
30,10,0.05,0.3233,0.2144,-0.1089
30,10,0.3,0.329,50.1733,49.8443
30,10,1.0,1.2409,1329962.4213,1329961.1804
30,10,1.5,1.9626,234.1031,232.1405
30,10,2.0,4.0041,534.8206,530.8165
30,25,0.0,0.3183,3.0286,2.7103
30,25,0.05,0.2775,8.6844,8.4069
30,25,0.3,0.3084,1.7716,1.4632
30,25,1.0,1.1279,320.6972,319.5693
30,25,1.5,2.1625,10.4998,8.3373
30,25,2.0,4.4618,136.9486,132.4868
50,1,0.0,0.0,0.0,0.0
50,1,0.05,0.0025,0.0312,0.0287
50,1,0.3,0.0794,0.0922,0.0128
50,1,1.0,0.95,6.4825,5.5325
50,1,1.5,2.1648,4.8478,2.683
50,1,2.0,3.6024,18.5455,14.9431
50,2,0.0,0.0,0.0,0.0
50,2,0.05,0.0022,0.0023,0.0001
50,2,0.3,0.0803,0.1616,0.0813
50,2,1.0,0.8434,1.5034,0.66
50,2,1.5,2.2082,3.2409,1.0327
50,2,2.0,3.747,5.1818,1.4348
50,5,0.0,0.0835,0.0,-0.0835
50,5,0.05,0.082,0.0059,-0.0761
50,5,0.3,0.1891,1.0788,0.8897
50,5,1.0,1.1707,8.3405,7.1698
50,5,1.5,2.3697,6.4249,4.0552
50,5,2.0,3.6063,6.9807,3.3744
50,10,0.0,0.2448,0.0,-0.2448
50,10,0.05,0.1567,0.0058,-0.1509
50,10,0.3,0.2788,3.7775,3.4987
50,10,1.0,1.0124,1.957,0.9446
50,10,1.5,2.3835,3.6947,1.3112
50,10,2.0,4.1041,4.5098,0.4057
50,25,0.0,0.3254,0.4708,0.1454
50,25,0.05,0.241,0.5222,0.2812
50,25,0.3,0.3636,0.412,0.0484
50,25,1.0,1.2332,1.7354,0.5022
50,25,1.5,2.4173,20.9355,18.5182
50,25,2.0,3.7852,4.6972,0.912
100,1,0.0,0.0,0.0,0.0
100,1,0.05,0.0023,0.0023,0.0
100,1,0.3,0.0874,0.086,-0.0014
100,1,1.0,1.0537,1.3261,0.2724
100,1,1.5,2.004,2.0052,0.0012
100,1,2.0,3.5805,3.7391,0.1586
100,2,0.0,0.0,0.0,0.0
100,2,0.05,0.0024,0.0092,0.0068
100,2,0.3,0.0817,0.0836,0.0019
100,2,1.0,0.9439,1.0267,0.0828
100,2,1.5,2.15,2.1778,0.0278
100,2,2.0,3.9771,3.9312,-0.0459
100,5,0.0,0.1082,0.0,-0.1082
100,5,0.05,0.1799,0.0026,-0.1773
100,5,0.3,0.1591,0.0954,-0.0637
100,5,1.0,1.1022,0.9663,-0.1359
100,5,1.5,2.1657,2.2083,0.0426
100,5,2.0,3.7608,4.0291,0.2683
100,10,0.0,0.1687,0.0,-0.1687
100,10,0.05,0.1856,0.0024,-0.1832
100,10,0.3,0.319,0.1065,-0.2125
100,10,1.0,1.1925,1.1721,-0.0204
100,10,1.5,2.3426,2.1773,-0.1653
100,10,2.0,3.9631,3.8081,-0.155
100,25,0.0,0.2544,0.1856,-0.0688
100,25,0.05,0.2648,0.1486,-0.1162
100,25,0.3,0.3507,0.2054,-0.1453
100,25,1.0,1.0831,1.0528,-0.0303
100,25,1.5,2.4684,2.3802,-0.0882
100,25,2.0,4.2415,4.0647,-0.1768
120,1,0.0,0.0,0.0,0.0
120,1,0.05,0.0025,0.0024,-0.0001
120,1,0.3,0.0833,0.081,-0.0023
120,1,1.0,0.9395,0.939,-0.0005
120,1,1.5,2.2511,2.1825,-0.0686
120,1,2.0,3.9785,3.9622,-0.0163
120,2,0.0,0.0,0.0,0.0
120,2,0.05,0.0025,0.0025,0.0
120,2,0.3,0.0861,0.0851,-0.001
120,2,1.0,1.0369,0.989,-0.0479
120,2,1.5,2.1016,2.1845,0.0829
120,2,2.0,3.5778,3.5341,-0.0437
120,5,0.0,0.1582,0.0,-0.1582
120,5,0.05,0.1162,0.0025,-0.1137
120,5,0.3,0.1572,0.0875,-0.0697
120,5,1.0,1.1556,1.0053,-0.1503
120,5,1.5,2.4052,2.3461,-0.0591
120,5,2.0,3.9343,3.8933,-0.041
120,10,0.0,0.183,0.0,-0.183
120,10,0.05,0.2701,0.0024,-0.2677
120,10,0.3,0.2385,0.0917,-0.1468
120,10,1.0,1.1154,1.0036,-0.1118
120,10,1.5,2.6523,2.3221,-0.3302
120,10,2.0,4.1296,3.8047,-0.3249
120,25,0.0,0.2731,0.2066,-0.0665
120,25,0.05,0.3612,0.1839,-0.1773
120,25,0.3,0.2832,0.1856,-0.0976
120,25,1.0,1.2782,1.1269,-0.1513
120,25,1.5,2.2537,2.2233,-0.0304
120,25,2.0,4.0838,3.8645,-0.2193
